variable,missing,model,problem,fold,score,mae,rmse
sbh3n,36359,tree,reg,5,0.8625,0.2217741935483871,0.6985006985010478
sbh3n,36359,tree,reg,6,0.8497175141242937,0.2217741935483871,0.7323184570804188
sbh3n,36359,tree,reg,7,0.8663426488456865,0.216867469879518,0.6646556012500703
sbh3n,36359,tree,reg,8,0.8574969021065675,0.2128514056224899,0.6795935473194495
sbh3n,36359,tree,reg,9,0.8459770114942529,0.2329317269076305,0.7335888565414329
sbh3n,36359,tree,reg,10,0.8296019900497512,0.2208835341365461,0.7417552178534718
sbh3n,36359,knn,reg,1,1.0,0.0,0.0
sbh3n,36359,knn,reg,2,1.0,0.0,0.0
sbh3n,36359,knn,reg,3,1.0,0.0,0.0
sbh3n,36359,knn,reg,4,1.0,0.0,0.0
sbh3n,36359,knn,reg,5,1.0,0.0,0.0
sbh3n,36359,knn,reg,6,1.0,0.0,0.0
sbh3n,36359,knn,reg,7,1.0,0.0,0.0
sbh3n,36359,knn,reg,8,1.0,0.0,0.0
sbh3n,36359,knn,reg,9,1.0,0.0,0.0
sbh3n,36359,knn,reg,10,1.0,0.0,0.0
marfrq,35891,lin,ordinal,1,0.5750762257383913,1.0135135135135136,1.0200688900954389
marfrq,35891,lin,ordinal,2,0.5992575060728857,1.0214285714285714,1.0316422414217608
marfrq,35891,lin,ordinal,3,0.5895418994218867,1.0210526315789474,1.0310954828418375
marfrq,35891,lin,ordinal,4,0.6204148365137955,1.0187265917602997,1.0277060743621684
marfrq,35891,lin,ordinal,5,0.6125966046352836,1.007380073800738,1.0110095060889457
marfrq,35891,lin,ordinal,6,0.6030745187281408,1.0326086956521738,1.0477719632422513
marfrq,35891,lin,ordinal,7,0.5994411153006167,1.025089605734767,1.0369516947304251
marfrq,35891,lin,ordinal,8,0.5990541649270168,1.0214285714285714,1.0316422414217608
marfrq,35891,lin,ordinal,9,0.5973337304028556,1.0283687943262412,1.0416843970122251
marfrq,35891,lin,ordinal,10,0.6001969872831724,1.025,1.036822067666386
marfrq,35891,tree,ordinal,1,0.9305445353732222,1.0,1.0
marfrq,35891,tree,ordinal,2,0.9277068155231534,1.0,1.0
marfrq,35891,tree,ordinal,3,0.926480783250902,1.0,1.0
marfrq,35891,tree,ordinal,4,0.927230312381213,1.0,1.0
marfrq,35891,tree,ordinal,5,0.9175262707178778,1.0,1.0
marfrq,35891,tree,ordinal,6,0.921559032899239,1.0,1.0
marfrq,35891,tree,ordinal,7,0.9189949873590212,1.0,1.0
marfrq,35891,tree,ordinal,8,0.9277504157546324,1.0,1.0
marfrq,35891,tree,ordinal,9,0.940785993834798,1.0,1.0
marfrq,35891,tree,ordinal,10,0.929650868042779,1.0,1.0
marfrq,35891,knn,ordinal,1,1.0,,
marfrq,35891,knn,ordinal,2,1.0,,
marfrq,35891,knn,ordinal,3,1.0,,
marfrq,35891,knn,ordinal,4,1.0,,
marfrq,35891,knn,ordinal,5,1.0,,
marfrq,35891,knn,ordinal,6,1.0,,
marfrq,35891,knn,ordinal,7,1.0,,
marfrq,35891,knn,ordinal,8,1.0,,
marfrq,35891,knn,ordinal,9,1.0,,
marfrq,35891,knn,ordinal,10,1.0,,
tobcpd,29289,lin,reg,1,0.1299264673285497,6.604159733777038,8.855050314891601
tobcpd,29289,lin,reg,2,0.1288022533181719,6.619550748752079,8.904887298762437
tobcpd,29289,lin,reg,3,0.1293912600031236,6.644320072606262,8.90200644979823
tobcpd,29289,lin,reg,4,0.1339165427205793,6.635244289819997,8.91738538437588
tobcpd,29289,lin,reg,5,0.1310302727008202,6.62754651338678,8.86863077786809
tobcpd,29289,lin,reg,6,0.1302959245118352,6.593820904553017,8.873195378979894
tobcpd,29289,lin,reg,7,0.129468447967581,6.610949788263762,8.85152318383261
tobcpd,29289,lin,reg,8,0.1273968184321912,6.636433756805808,8.904328640725518
tobcpd,29289,lin,reg,9,0.1282990078103618,6.628191167574108,8.880952475855443
tobcpd,29289,lin,reg,10,0.1279181262650425,6.631350574712643,8.801957612890257
tobcpd,29289,tree,reg,1,0.90110849533296,2.0972772651641205,2.985331385131317
tobcpd,29289,tree,reg,2,0.9004246895990107,2.0967856602631976,3.0105503160159865
tobcpd,29289,tree,reg,3,0.8985984760884058,2.1145968839812435,3.0380760019088857
tobcpd,29289,tree,reg,4,0.9001054801232422,2.130176977764332,3.028506403518386
tobcpd,29289,tree,reg,5,0.9005413443995087,2.113857207684162,3.000375035802717
tobcpd,29289,tree,reg,6,0.8992364693678083,2.115829677809711,3.0202714674019453
tobcpd,29289,tree,reg,7,0.8986098384365121,2.109588626739262,3.020811740123505
tobcpd,29289,tree,reg,8,0.9030150441543692,2.0942377495462794,2.9685541179367405
tobcpd,29289,tree,reg,9,0.8975340263415192,2.11881427707199,3.044847958857549
tobcpd,29289,tree,reg,10,0.8997987239723281,2.109118269812462,2.983577126749762
tobcpd,29289,knn,reg,1,0.9998310190050946,0.0033126607169868,0.1234047810209279
tobcpd,29289,knn,reg,2,0.9998323776470132,0.0033504764785962,0.1235196413532287
tobcpd,29289,knn,reg,3,0.9998322786763356,0.0033882922402057,0.1235579044028855
tobcpd,29289,knn,reg,4,0.9998337254661188,0.0033882922402057,0.1235579044028855
tobcpd,29289,knn,reg,5,0.9998313489293222,0.0033716533050975,0.1235517218967975
tobcpd,29289,knn,reg,6,0.9999149445509716,0.0018529723188625,0.0877496438739212
tobcpd,29289,knn,reg,7,0.9999144213466176,0.0018753781004234,0.0877623971556552
tobcpd,29289,knn,reg,8,0.9998324236546527,0.0033121597096188,0.1233954487880699
tobcpd,29289,knn,reg,9,0.9999148733775288,0.0018753781004234,0.0877623971556552
tobcpd,29289,knn,reg,10,0.9999138660571548,0.0017407743496672,0.087475776614174
ccpsyage,31732,lin,reg,1,0.3362553207308686,4.42157751586582,6.361431839599007
ccpsyage,31732,lin,reg,2,0.3290692680532547,4.3748866727107885,6.297404090371302
ccpsyage,31732,lin,reg,3,0.3280165995544094,4.406618313689936,6.388452865057876
ccpsyage,31732,lin,reg,4,0.3286093390406081,4.39451620213007,6.37101625926697
ccpsyage,31732,lin,reg,5,0.3330679887000211,4.4108316338092,6.38891729633057
ccpsyage,31732,lin,reg,6,0.3343653713282665,4.386811692726036,6.355061895271048
ccpsyage,31732,lin,reg,7,0.3308483106491824,4.355993655109903,6.344427174689429
ccpsyage,31732,lin,reg,8,0.3369710015127682,4.37298889644233,6.318676613387716
ccpsyage,31732,lin,reg,9,0.3409703250117758,4.373895309313392,6.29528686836763
ccpsyage,31732,lin,reg,10,0.3276559200026537,4.43031951053705,6.429259114570918
ccpsyage,31732,tree,reg,1,0.9577092511013215,0.957842248413418,1.6057467060947626
ccpsyage,31732,tree,reg,2,0.9536973127185716,0.9721214868540344,1.6543439891544611
ccpsyage,31732,tree,reg,3,0.958530969290078,0.9678150498640072,1.5870052537501709
ccpsyage,31732,tree,reg,4,0.958799673156068,0.952186721051439,1.5782340034609854
ccpsyage,31732,tree,reg,5,0.9582433938442514,0.9639700883752548,1.5986341326149265
ccpsyage,31732,tree,reg,6,0.9598140090754608,0.9349648765012464,1.5614898728966669
ccpsyage,31732,tree,reg,7,0.9555634245847728,0.967595739859506,1.6349347255361928
ccpsyage,31732,tree,reg,8,0.9587563690552348,0.940403353727623,1.5759350452071264
ccpsyage,31732,tree,reg,9,0.9606481394253414,0.929299796057104,1.5383164184026394
ccpsyage,31732,tree,reg,10,0.9578930297188816,0.9626104690686608,1.6089484639836258
ccpsyage,31732,knn,reg,1,1.0,0.0,0.0
ccpsyage,31732,knn,reg,2,1.0,0.0,0.0
ccpsyage,31732,knn,reg,3,1.0,0.0,0.0
ccpsyage,31732,knn,reg,4,1.0,0.0,0.0
ccpsyage,31732,knn,reg,5,1.0,0.0,0.0
ccpsyage,31732,knn,reg,6,1.0,0.0,0.0
ccpsyage,31732,knn,reg,7,1.0,0.0,0.0
ccpsyage,31732,knn,reg,8,1.0,0.0,0.0
ccpsyage,31732,knn,reg,9,1.0,0.0,0.0
ccpsyage,31732,knn,reg,10,1.0,0.0,0.0
tobyos,29387,lin,reg,1,0.5157283083280415,6.721499310133374,9.09489073590682
tobyos,29387,lin,reg,2,0.5229331684395748,6.631969952475854,9.003759887117143
tobyos,29387,lin,reg,3,0.5226852734424696,6.66462363942971,9.0294562470013
tobyos,29387,lin,reg,4,0.5211109315586118,6.65182278092902,8.988750575888156
tobyos,29387,lin,reg,5,0.5213515965845419,6.678650927487352,9.024998969977473
tobyos,29387,lin,reg,6,0.5268737724041077,6.638638663191783,8.997117987803833
tobyos,29387,lin,reg,7,0.5213922992300983,6.644540855434616,9.017224864600896
tobyos,29387,lin,reg,8,0.5290567326603759,6.585518933006285,8.949305807953715
tobyos,29387,lin,reg,9,0.5207468230347245,6.668353770692826,9.02941778807812
tobyos,29387,lin,reg,10,0.5209792215898007,6.675889025137952,9.032337249371766
tobyos,29387,tree,reg,1,0.9474884513337596,2.077470489038786,2.9948864283454424
tobyos,29387,tree,reg,2,0.9490558399891272,2.050795646175073,2.9422630387261632
tobyos,29387,tree,reg,3,0.9492442839657416,2.047882875977311,2.9444328915581983
tobyos,29387,tree,reg,4,0.9494607837041212,2.0318626398896216,2.9200892087872576
tobyos,29387,tree,reg,5,0.9493608352453023,2.0593040012264296,2.935500242561112
tobyos,29387,tree,reg,6,0.9492193814887252,2.0560846236394297,2.9475684353596128
tobyos,29387,tree,reg,7,0.9482941084105936,2.066585926720834,2.9638285315816613
tobyos,29387,tree,reg,8,0.9480183620787213,2.0652061934692627,2.9732404479466754
tobyos,29387,tree,reg,9,0.9483625657477098,2.05094114040466,2.963872897170603
tobyos,29387,tree,reg,10,0.9507952468562612,2.027513795217658,2.8948528816887578
tobyos,29387,knn,reg,1,0.999997060065904,0.0007143952169247,0.0224089620931922
tobyos,29387,knn,reg,2,0.9999979470424936,0.0005610915223056,0.0186777377504634
tobyos,29387,knn,reg,3,0.9999979576499302,0.0005610915223056,0.0186777377504634
tobyos,29387,knn,reg,4,0.999997250837588,0.0006377433696152,0.0215368442079931
tobyos,29387,knn,reg,5,0.9999972742474592,0.0006377433696152,0.0215368442079931
tobyos,29387,knn,reg,6,0.9999981850005332,0.0004844396749961,0.0176219171437255
tobyos,29387,knn,reg,7,0.999997495371128,0.0005610915223056,0.0206278873078318
tobyos,29387,knn,reg,8,0.9999970472044402,0.0007143952169247,0.0224089620931922
tobyos,29387,knn,reg,9,0.9999970486384552,0.0007142857142857,0.0224072446023222
tobyos,29387,knn,reg,10,0.999997975011188,0.0005364806866952,0.0185709569340668
ccmtrage,588,lin,reg,1,0.591103406455928,2.3866284446088404,3.537329442807834
ccmtrage,588,lin,reg,2,0.5900751686836563,2.3949201652179277,3.551144632089056
ccmtrage,588,lin,reg,3,0.5903539245452813,2.3857345416435485,3.529858023139542
ccmtrage,588,lin,reg,4,0.5901794505575022,2.3920226866407743,3.5476622101587645
ccmtrage,588,lin,reg,5,0.5900747024282819,2.390049935269096,3.543167353236351
ccmtrage,588,lin,reg,6,0.5920758156818051,2.3835460205905923,3.529294736422428
ccmtrage,588,lin,reg,7,0.5878694357016081,2.397077862030701,3.5583071597033857
ccmtrage,588,lin,reg,8,0.5882238516987008,2.3945072897081032,3.5578494917850985
ccmtrage,588,lin,reg,9,0.5911505728248193,2.382547853157846,3.534337138258544
ccmtrage,588,lin,reg,10,0.5904747866751203,2.3889282742039883,3.535971965478917
ccmtrage,588,tree,reg,1,0.9545248508706016,0.7235065655631588,1.1796572160073533
ccmtrage,588,tree,reg,2,0.9548807541316724,0.7256026138955675,1.178140711212821
ccmtrage,588,tree,reg,3,0.955075377699227,0.7186979840946921,1.1689476323981824
ccmtrage,588,tree,reg,4,0.9551739954773522,0.7276678379877936,1.1733036225929403
ccmtrage,588,tree,reg,5,0.9552661085288796,0.724153874606991,1.1704628806204411
ccmtrage,588,tree,reg,6,0.9548138374925424,0.7269588804635966,1.174629575248362
ccmtrage,588,tree,reg,7,0.955801659293922,0.7209789778681955,1.1652765459403134
ccmtrage,588,tree,reg,8,0.9550255133502652,0.720093702801837,1.1758179506870297
ccmtrage,588,tree,reg,9,0.9555944747323522,0.7173812532749746,1.1647823556667127
ccmtrage,588,tree,reg,10,0.9546121788011808,0.7262275375273557,1.177167214985143
ccmtrage,588,knn,reg,1,1.0,0.0,0.0
ccmtrage,588,knn,reg,2,1.0,0.0,0.0
ccmtrage,588,knn,reg,3,1.0,0.0,0.0
ccmtrage,588,knn,reg,4,1.0,0.0,0.0
ccmtrage,588,knn,reg,5,1.0,0.0,0.0
ccmtrage,588,knn,reg,6,1.0,0.0,0.0
ccmtrage,588,knn,reg,7,1.0,0.0,0.0
ccmtrage,588,knn,reg,8,1.0,0.0,0.0
ccmtrage,588,knn,reg,9,1.0,0.0,0.0
ccmtrage,588,knn,reg,10,1.0,0.0,0.0
alcunits,25189,lin,reg,1,0.1426861667040528,5.988318609843705,9.47826408674335
alcunits,25189,lin,reg,2,0.1447606565886321,5.952987088632172,9.450467018167396
alcunits,25189,lin,reg,3,0.1421967167480694,5.951137753616154,9.420457265739374
alcunits,25189,lin,reg,4,0.1419694187561417,5.95531307640035,9.408644201484355
alcunits,25189,lin,reg,5,0.1427660149302569,5.894657800213571,9.340753310651426
alcunits,25189,lin,reg,6,0.1440034647933836,5.9029385496553735,9.32271967692616
alcunits,25189,lin,reg,7,0.1397557153854205,5.938651718112988,9.370287996453383
alcunits,25189,lin,reg,8,0.1444802468612577,5.883408076101728,9.203054147383988
alcunits,25189,lin,reg,9,0.1471103588166169,5.88185012618909,9.32934232036
alcunits,25189,lin,reg,10,0.1418737885844261,5.93217530576587,9.39319063134818
alcunits,25189,tree,reg,1,0.9042270020982532,1.8344306378021555,3.1679654046972643
alcunits,25189,tree,reg,2,0.9031851277080298,1.8266886710028156,3.179658462639509
alcunits,25189,tree,reg,3,0.9061975951345984,1.803783127851665,3.1151941463509583
alcunits,25189,tree,reg,4,0.9027836733764336,1.8573517134258808,3.166979597486544
