variable,missing,model,problem,fold,score,mae,rmse
pbas10sv,5332,lin,ordinal,1,0.9891217266655328,1.2519685039370079,1.3457427770741495
pbas10sv,5332,lin,ordinal,2,0.9893012657256773,1.232,1.3175735273600484
pbas10sv,5332,lin,ordinal,3,0.9887044777173407,1.247148288973384,1.339655480369356
pbas10sv,5332,lin,ordinal,4,0.9889913151890858,1.265625,1.3635890143294642
pbas10sv,5332,lin,ordinal,5,0.988845981799526,1.2576923076923077,1.3544797468457712
pbas10sv,5332,lin,ordinal,6,0.9890022028086675,1.26171875,1.3621559198564606
pbas10sv,5332,lin,ordinal,7,0.9889056763262543,1.250965250965251,1.3442283314042325
pbas10sv,5332,lin,ordinal,8,0.9893403626961114,1.232,1.3175735273600484
pbas10sv,5332,lin,ordinal,9,0.988977293742831,1.2568093385214008,1.3508896045700436
pbas10sv,5332,lin,ordinal,10,0.9887039881403389,1.231060606060606,1.327163756423312
pbas10sv,5332,tree,ordinal,1,0.9973018067074362,1.0,1.0
pbas10sv,5332,tree,ordinal,2,0.9978348474540935,1.0,1.0
pbas10sv,5332,tree,ordinal,3,0.9972690051535207,1.0,1.0
pbas10sv,5332,tree,ordinal,4,0.9974941210677141,1.0,1.0
pbas10sv,5332,tree,ordinal,5,0.9973202104497135,1.0,1.0
pbas10sv,5332,tree,ordinal,6,0.9974491110003341,1.0,1.0
pbas10sv,5332,tree,ordinal,7,0.9976049685574897,1.0,1.0
pbas10sv,5332,tree,ordinal,8,0.9973423949058988,1.0,1.0
pbas10sv,5332,tree,ordinal,9,0.9972415324349561,1.0,1.0
pbas10sv,5332,tree,ordinal,10,0.9978003144464991,1.0,1.0
pbas10sv,5332,knn,ordinal,1,1.0,,
pbas10sv,5332,knn,ordinal,2,1.0,,
pbas10sv,5332,knn,ordinal,3,1.0,,
pbas10sv,5332,knn,ordinal,4,1.0,,
pbas10sv,5332,knn,ordinal,5,1.0,,
pbas10sv,5332,knn,ordinal,6,1.0,,
