variable,missing,model,problem,fold,score,mae,rmse
sbh4n,31871,lin,reg,1,1.0,0.0,0.0
sbh4n,31871,lin,reg,2,1.0,0.0,0.0
sbh4n,31871,lin,reg,3,1.0,0.0,0.0
sbh4n,31871,lin,reg,4,1.0,0.0,0.0
sbh4n,31871,lin,reg,5,1.0,0.0,0.0
sbh4n,31871,lin,reg,6,1.0,0.0,0.0
sbh4n,31871,lin,reg,7,1.0,0.0,0.0
sbh4n,31871,lin,reg,8,1.0,0.0,0.0
sbh4n,31871,lin,reg,9,1.0,0.0,0.0
sbh4n,31871,lin,reg,10,1.0,0.0,0.0
sbh4n,31871,tree,reg,1,0.8884339815762539,0.36419753086419754,0.8202679477907445
sbh4n,31871,tree,reg,2,0.8690476190476191,0.38271604938271603,0.8240220541217403
sbh4n,31871,tree,reg,3,0.865323435843054,0.4012345679012346,0.8854098583616238
sbh4n,31871,tree,reg,4,0.8543111992071357,0.4382716049382716,0.9525793444156804
sbh4n,31871,tree,reg,5,0.8592750533049041,0.4074074074074074,0.90267093384844
sbh4n,31871,tree,reg,6,0.8737650933040615,0.36419753086419754,0.8425417160057279
sbh4n,31871,tree,reg,7,0.8396624472573839,0.35802469135802467,0.8388704928078611
sbh4n,31871,tree,reg,8,0.869177403369673,0.43209876543209874,0.90267093384844
sbh4n,31871,tree,reg,9,0.8918296892980437,0.30864197530864196,0.7617394000445604
sbh4n,31871,tree,reg,10,0.881,0.3888888888888889,0.8570693678078618
sbh4n,31871,knn,reg,1,1.0,0.0,0.0
sbh4n,31871,knn,reg,2,1.0,0.0,0.0
sbh4n,31871,knn,reg,3,1.0,0.0,0.0
sbh4n,31871,knn,reg,4,1.0,0.0,0.0
sbh4n,31871,knn,reg,5,1.0,0.0,0.0
sbh4n,31871,knn,reg,6,1.0,0.0,0.0
sbh4n,31871,knn,reg,7,1.0,0.0,0.0
sbh4n,31871,knn,reg,8,1.0,0.0,0.0
sbh4n,31871,knn,reg,9,1.0,0.0,0.0
sbh4n,31871,knn,reg,10,1.0,0.0,0.0
sbh3n,31811,lin,reg,1,1.0,0.0,0.0
sbh3n,31811,lin,reg,2,1.0,0.0,0.0
sbh3n,31811,lin,reg,3,1.0,0.0,0.0
sbh3n,31811,lin,reg,4,0.9945130315500685,0.018518518518518517,0.13608276348795434
sbh3n,31811,lin,reg,5,1.0,0.0,0.0
sbh3n,31811,lin,reg,6,1.0,0.0,0.0
sbh3n,31811,lin,reg,7,0.9557625145518044,0.16666666666666666,0.41943524640393054
sbh3n,31811,lin,reg,8,0.986873508353222,0.05092592592592592,0.22566773346211
sbh3n,31811,lin,reg,9,0.9087353324641461,0.2777777777777778,0.5692750425533111
sbh3n,31811,lin,reg,10,0.9372093023255814,0.23148148148148148,0.5
sbh3n,31811,tree,reg,1,0.8601895734597156,0.26851851851851855,0.7391185942027817
sbh3n,31811,tree,reg,2,0.821882951653944,0.28703703703703703,0.8050764858994133
sbh3n,31811,tree,reg,3,0.85,0.28703703703703703,0.7637626158259734
sbh3n,31811,tree,reg,4,0.8422496570644719,0.2361111111111111,0.7296625298090943
sbh3n,31811,tree,reg,5,0.8185053380782918,0.30092592592592593,0.8416254115301732
sbh3n,31811,tree,reg,6,0.8619402985074627,0.21296296296296297,0.5853140973807077
sbh3n,31811,tree,reg,7,0.8346915017462165,0.3148148148148148,0.8108066399625792
sbh3n,31811,tree,reg,8,0.8496420047732697,0.28703703703703703,0.7637626158259734
sbh3n,31811,tree,reg,9,0.8735332464146024,0.24537037037037038,0.6701298934341566
sbh3n,31811,tree,reg,10,0.8476744186046512,0.3194444444444444,0.7787692093820103
sbh3n,31811,knn,reg,1,1.0,0.0,0.0
sbh3n,31811,knn,reg,2,1.0,0.0,0.0
sbh3n,31811,knn,reg,3,1.0,0.0,0.0
sbh3n,31811,knn,reg,4,1.0,0.0,0.0
sbh3n,31811,knn,reg,5,1.0,0.0,0.0
sbh3n,31811,knn,reg,6,1.0,0.0,0.0
sbh3n,31811,knn,reg,7,1.0,0.0,0.0
sbh3n,31811,knn,reg,8,1.0,0.0,0.0
sbh3n,31811,knn,reg,9,1.0,0.0,0.0
sbh3n,31811,knn,reg,10,1.0,0.0,0.0
sbh1n,31310,lin,reg,1,0.8948399738732854,0.7957957957957958,1.3906595319969348
sbh1n,31310,lin,reg,2,0.7536035825908476,1.5292353823088456,2.814078975394991
sbh1n,31310,lin,reg,3,0.49510467245084777,1.6176911544227885,3.0837874646992587
sbh1n,31310,lin,reg,4,0.730968622100955,1.6101949025487257,2.978181528616297
sbh1n,31310,lin,reg,5,0.7249165790556291,1.5802098950524737,3.0037457874497617
sbh1n,31310,lin,reg,6,0.7187429448683795,1.575712143928036,3.0559500298119477
sbh1n,31310,lin,reg,7,0.7218198279764599,1.593703148425787,3.0352748727624963
sbh1n,31310,lin,reg,8,0.7923878568192115,1.3673163418290855,2.6209855431480933
sbh1n,31310,lin,reg,9,0.7205108602779151,1.6206896551724137,3.052513895047862
sbh1n,31310,lin,reg,10,0.7218160483798177,1.6131934032983508,3.039963702142647
sbh1n,31310,tree,reg,1,0.8171129980404964,0.2912912912912913,1.833947481081005
sbh1n,31310,tree,reg,2,0.8242757848579558,0.43928035982008995,2.3764839915133114
sbh1n,31310,tree,reg,3,0.8218578365040198,0.3598200899550225,1.8317538969060732
sbh1n,31310,tree,reg,4,0.8351068667576171,0.4587706146926537,2.3315835518098993
sbh1n,31310,tree,reg,5,0.854733281528546,0.4767616191904048,2.182800424032033
sbh1n,31310,tree,reg,6,0.8099968393010339,0.4497751124437781,2.51174154267739
sbh1n,31310,tree,reg,7,0.8105024898143957,0.48875562218890556,2.5051670740622303
sbh1n,31310,tree,reg,8,0.8106479383778885,0.5022488755622189,2.5030715763521085
sbh1n,31310,tree,reg,9,0.8333857984440347,0.5112443778110944,2.3568459089810387
sbh1n,31310,tree,reg,10,0.8069320335770376,0.43778110944527737,2.5325467623418674
sbh1n,31310,knn,reg,1,1.0,0.0,0.0
sbh1n,31310,knn,reg,2,1.0,0.0,0.0
sbh1n,31310,knn,reg,3,1.0,0.0,0.0
sbh1n,31310,knn,reg,4,1.0,0.0,0.0
sbh1n,31310,knn,reg,5,1.0,0.0,0.0
sbh1n,31310,knn,reg,6,1.0,0.0,0.0
sbh1n,31310,knn,reg,7,1.0,0.0,0.0
sbh1n,31310,knn,reg,8,1.0,0.0,0.0
sbh1n,31310,knn,reg,9,1.0,0.0,0.0
sbh1n,31310,knn,reg,10,1.0,0.0,0.0
marfrq,31365,lin,ordinal,1,0.6168759897174496,1.012,1.0178408519999578
marfrq,31365,lin,ordinal,2,0.6321095592181648,1.0125,1.0185774393731681
marfrq,31365,lin,ordinal,3,0.612000028885807,1.0239043824701195,1.03523579314587
